Energy,Resistance,collimatore131x,collimatore131y,collimatore197x,collimatore197y
20,340,-5,5,-12,12
30,340,-5,5,-10,10
40,340,-5,5,-8,8
60,340,-5,5,-8,8
80,340,-5,5,-8,8
100,340,-5,5,-8,8
120,340,-3,3,-10,10
150,340,-3,3,-8,8
175,340,-3,3,-10,10
200,340,-3,3,-10,10
225,340,-3,3,-8,8
250,340,-3,3,-10,10
275,340,-3,3,-10,10
