Energy,Resistance,collimatore131x,collimatore131y,collimatore197x,collimatore197y,BES_percentage
20,400,-5,5,-12,12,0.277983462943153
40,400,-8,8,-12,12,0.308394962883872
60,400,-10,10,-15,15,0.385493703604839
80,400,-10,10,-12,12,0.334018500209103
100,400,-15,15,-8,8,0.363516836156431
150,400,-20,20,-12,12,0.498740984610473
200,400,-3,3,-8,8,0.182699365270972
225,400,-3,3,-8,8,0.182699365270972
250,400,-3,3,-8,8,0.182699365270972
