Energy,run,Resistance,collimatore131x,collimatore131y,collimatore386x,collimatore386y
30,21045,500,-5,5,-2,2
30,21046,500,-5,5,-2,2
30,21047,500,-5,5,-2,2
40,21090,500,-10,10,-10,10
40,21091,500,-10,10,-10,10
40,21092,500,-10,10,-10,10
40,21093,500,-10,10,-10,10
40,21094,500,-10,10,-10,10
40,21095,500,-10,10,-10,10
40,21096,500,-10,10,-10,10
40,21097,500,-10,10,-10,10
40,21098,500,-10,10,-10,10
40,21099,500,-10,10,-10,10
50,21033,500,-15,15,-15,15
50,21034,500,-15,15,-15,15
50,21035,500,-15,15,-15,15
50,21036,500,-15,15,-15,15
50,21037,500,-15,15,-15,15
60,21081,500,-3,3,-3,3
60,21082,500,-3,3,-3,3
60,21116,500,-5,5,-2,2
80,21119,500,-5,5,-2,2
100,21056,500,-3,3,-3,3
100,21057,500,-3,3,-3,3
100,21058,500,-3,3,-3,3
150,20938,500,-10,-10,-8,8
150,20950,500,-10,-10,-8,8
150,20951,500,-10,-10,-8,8
150,20953,500,-10,-10,-8,8
150,20954,500,-10,-10,-8,8
